,Date,Total Cases,Total Deaths
0,Feb 15$ 2020,0,0
1,Feb 16$ 2020,0,0
2,Feb 17$ 2020,0,0
3,Feb 18$ 2020,0,0
4,Feb 19$ 2020,0,0
5,Feb 20$ 2020,0,0
6,Feb 21$ 2020,0,0
7,Feb 22$ 2020,0,0
8,Feb 23$ 2020,0,0
9,Feb 24$ 2020,0,0
10,Feb 25$ 2020,0,0
11,Feb 26$ 2020,0,0
12,Feb 27$ 2020,0,0
13,Feb 28$ 2020,0,0
14,Feb 29$ 2020,1,0
15,Mar 01$ 2020,3,0
16,Mar 02$ 2020,7,0
17,Mar 03$ 2020,8,0
18,Mar 04$ 2020,8,0
19,Mar 05$ 2020,8,0
20,Mar 06$ 2020,11,0
21,Mar 07$ 2020,12,0
22,Mar 08$ 2020,15,0
23,Mar 09$ 2020,18,0
24,Mar 10$ 2020,24,0
25,Mar 11$ 2020,262,0
26,Mar 12$ 2020,262,0
27,Mar 13$ 2020,320,0
28,Mar 14$ 2020,337,0
29,Mar 15$ 2020,401,0
30,Mar 16$ 2020,439,0
31,Mar 17$ 2020,442,0
32,Mar 18$ 2020,452,0
33,Mar 19$ 2020,460,0
34,Mar 20$ 2020,470,0
35,Mar 21$ 2020,481,0
36,Mar 22$ 2020,494,0
37,Mar 23$ 2020,501,0
38,Mar 24$ 2020,526,0
39,Mar 25$ 2020,537,0
40,Mar 26$ 2020,549,0
41,Mar 27$ 2020,562,0
42,Mar 28$ 2020,590,1
43,Mar 29$ 2020,634,1
44,Mar 30$ 2020,693,1
45,Mar 31$ 2020,781,2
46,Apr 01$ 2020,835,2
47,Apr 02$ 2020,949,3
48,Apr 03$ 2020,1075,3
49,Apr 04$ 2020,1325,3
50,Apr 05$ 2020,1604,4
51,Apr 06$ 2020,1832,4
52,Apr 07$ 2020,2057,6
53,Apr 08$ 2020,2210,6
54,Apr 09$ 2020,2376,6
55,Apr 10$ 2020,2512,6
56,Apr 11$ 2020,2728,6
57,Apr 12$ 2020,2979,7
58,Apr 13$ 2020,3231,7
59,Apr 14$ 2020,3428,7
60,Apr 15$ 2020,3711,7
61,Apr 16$ 2020,4103,7
62,Apr 17$ 2020,4663,7
63,Apr 18$ 2020,5008,8
64,Apr 19$ 2020,5448,8
65,Apr 20$ 2020,6015,9
66,Apr 21$ 2020,6533,9
67,Apr 22$ 2020,7141,10
68,Apr 23$ 2020,7764,10
69,Apr 24$ 2020,8525,10
70,Apr 25$ 2020,9358,10
71,Apr 26$ 2020,10287,10
72,Apr 27$ 2020,11244,10
73,Apr 28$ 2020,11921,10
74,Apr 29$ 2020,12564,10
75,Apr 30$ 2020,13409,10
76,May 01$ 2020,14096,12
77,May 02$ 2020,14872,12
78,May 03$ 2020,15551,12
79,May 04$ 2020,16191,12
80,May 05$ 2020,17142,12
81,May 06$ 2020,17972,12
82,May 07$ 2020,18890,12
83,May 08$ 2020,20201,12
84,May 09$ 2020,21331,13
85,May 10$ 2020,22520,14
86,May 11$ 2020,23623,14
87,May 12$ 2020,25149,14
88,May 13$ 2020,26539,14
89,May 14$ 2020,28272,14
90,May 15$ 2020,29425,14
91,May 16$ 2020,30972,15
92,May 17$ 2020,32604,15
93,May 18$ 2020,33969,15
94,May 19$ 2020,35606,15
95,May 20$ 2020,37097,16
96,May 21$ 2020,38651,17
97,May 22$ 2020,40481,19
98,May 23$ 2020,42213,21
99,May 24$ 2020,43714,23
100,May 25$ 2020,45465,26
101,May 26$ 2020,47207,28
102,May 27$ 2020,48947,30
103,May 28$ 2020,50914,33
104,May 29$ 2020,52907,36
105,May 30$ 2020,55262,36
106,May 31$ 2020,56910,38
107,Jun 01$ 2020,58433,40
108,Jun 02$ 2020,60259,43
109,Jun 03$ 2020,62160,45
110,Jun 04$ 2020,63741,45
111,Jun 05$ 2020,65495,49
112,Jun 06$ 2020,67195,51
113,Jun 07$ 2020,68790,54
114,Jun 08$ 2020,70158,57
115,Jun 09$ 2020,71879,62
116,Jun 10$ 2020,73595,66
117,Jun 11$ 2020,75071,69
118,Jun 12$ 2020,76588,70
119,Jun 13$ 2020,78416,70
120,Jun 14$ 2020,79602,73
121,Jun 15$ 2020,80876,76
122,Jun 16$ 2020,82077,80
123,Jun 17$ 2020,83174,82
124,Jun 18$ 2020,84441,86
125,Jun 19$ 2020,85462,93
126,Jun 20$ 2020,86488,94
127,Jun 21$ 2020,87369,98
128,Jun 22$ 2020,88403,99
129,Jun 23$ 2020,89579,99
130,Jun 24$ 2020,90778,104
131,Jun 25$ 2020,91838,106
132,Jun 26$ 2020,92784,109
133,Jun 27$ 2020,93663,110
134,Jun 28$ 2020,94413,110
135,Jun 29$ 2020,95106,113
136,Jun 30$ 2020,96088,113
137,Jul 01$ 2020,97003,115
138,Jul 02$ 2020,97897,118
139,Jul 03$ 2020,98653,121
140,Jul 04$ 2020,99183,123
141,Jul 05$ 2020,99799,128
142,Jul 06$ 2020,100345,133
143,Jul 07$ 2020,100945,134
144,Jul 08$ 2020,101553,138
145,Jul 09$ 2020,102110,142
146,Jul 10$ 2020,102630,146
147,Jul 11$ 2020,103128,146
148,Jul 12$ 2020,103598,147
149,Jul 13$ 2020,104016,149
150,Jul 14$ 2020,104533,150
151,Jul 15$ 2020,104983,151
152,Jul 16$ 2020,105477,152
153,Jul 17$ 2020,105898,153
154,Jul 18$ 2020,106308,154
155,Jul 19$ 2020,106648,157
156,Jul 20$ 2020,107037,159
157,Jul 21$ 2020,107430,160
158,Jul 22$ 2020,107871,163
159,Jul 23$ 2020,108244,164
160,Jul 24$ 2020,108638,164
161,Jul 25$ 2020,109036,164
162,Jul 26$ 2020,109305,165
163,Jul 27$ 2020,109597,165
164,Jul 28$ 2020,109880,167
165,Jul 29$ 2020,110153,169
166,Jul 30$ 2020,110460,171
167,Jul 31$ 2020,110695,174
168,Aug 01$ 2020,110911,174
169,Aug 02$ 2020,111107,177
170,Aug 03$ 2020,111322,177
171,Aug 04$ 2020,111538,177
172,Aug 05$ 2020,111805,178
173,Aug 06$ 2020,112092,178
174,Aug 07$ 2020,112383,180
175,Aug 08$ 2020,112650,182
176,Aug 09$ 2020,112947,184
177,Aug 10$ 2020,113262,188
178,Aug 11$ 2020,113646,188
179,Aug 12$ 2020,113938,190
180,Aug 13$ 2020,114281,190
181,Aug 14$ 2020,114532,190
182,Aug 15$ 2020,114809,192
183,Aug 16$ 2020,115080,193
184,Aug 17$ 2020,115368,193
185,Aug 18$ 2020,115661,193
186,Aug 19$ 2020,115956,193
187,Aug 20$ 2020,116224,193
188,Aug 21$ 2020,116481,193
189,Aug 22$ 2020,116765,193
190,Aug 23$ 2020,117008,193
191,Aug 24$ 2020,117266,194
192,Aug 25$ 2020,117498,194
193,Aug 26$ 2020,117742,194
194,Aug 27$ 2020,117988,195
195,Aug 28$ 2020,118196,196
196,Aug 29$ 2020,118407,196
